General Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiscal Year,State,Status,Name,Address,Address 2,City,Zip Code,E-mail Address (if applicable),Website Address (if applicble),Phone,TTY,Toll-free Phone,Toll-free TTY,Fax,Operating Agency Name,Operating Agency Address,Operating Agency Address 2,Operating Agency State (FY2014 and earlier),Operating Agency Zip Code,Operating Agency E-mail,Operating Agency Website,Operating Agency Phone,Operating Agency TTY,Operating Agency Toll-free Phone,Operating Agency Toll-free TTY,Operating Agency Fax,Name of CAP Director/Coordinator,Person to contact regarding report,Contact Person Phone
2017,Massachusetts,Published,Massachusetts Office on Disability,One Ashburton Place #1305,,Boston,2108,naomi.goldberg@state.ma.us,http://www.mass.gov/mod,617-727-7440,617-727-7440,800-322-2020,800-322-2020,617-727-0965,Massachusetts Office on Disability,One Ashburton Place #1305,,MA,2108,naomi.goldberg@state.ma.us,http://www.mass.gov/mod,617-727-7440,617-727-7440,800-322-2020,800-322-2020,617-727-0965,Naomi Goldberg,Naomi Goldberg,617-727-7440 x27327
2017,Alabama,Published,Alabama Department of Rehabilitation Services,602 S. Lawrence Street,,Montgomery AL,36104,JE.Burdeshaw@rehab.alabama.gov,http://www.rehab.state.al.us,334-293-7032,334-293-7500,1-800-441-7607,1-800-441-7607,334-293-7383,Alabama Department of Rehabilitation Services,602 S. Lawrence Street,,AL,36104,JE.Burdeshaw@rehab.alabama.gov,http://www.rehab.state.al.us,334-293-7032,334-293-7500,1-800-441-7607,1-800-441-7607,334-293-7383,Rachel L. Hughes,Rachel L. Hughes,334-263-2749
2017,Arkansas,Published,"Disability Rights Arkansas, Inc.",400 West Capitol Avenue,Suite 1200,Little Rock,72201,spierce@disabilityrightsAR.org,http://www.disabilityrightsar.org,501 296-1775,501-296-1775,800-482-1774,800-482-1174,501 296-1779,"Disability Rights Arkansas, Inc.",400 West Capitol Avenue,Suite 1200,AR,72201,spierce@disabilityrightsAR.org,http://www.disabilityrightsar.org,501 296-1775,501-296-1775,800-482-1774,800-482-1174,501 296-1779,Thomas Nichols,Susan Pierce,501-296-1775
2017,American Samoa,Published,Office of Protection and Advocacy for the Disabled,P.O. Box 3937,,Pago Pago,96799,fsavali94@yahoo.com,,(684) 699-2442,,,,(684) 699-7286,Office of Protection and Advocacy for the Disabled,P.O. Box 3937,,AS,96799,fsavali94@yahoo.com,,(684) 699-2442,,,,(684) 699-7286,Fiaavae Savali,Fiaavae Savali,684-699-2441
2017,Arizona,Published,Arizona Center for Disability Law,5025 East Washington Street,Suite 202,Phoenix,85034,center@azdisabilitylaw.org,http://www.azdisabilitylaw.org,602-274-6287,602-274-6287,800-927-2260,800-927-2260,602-274-6779,Arizona Center for Disability Law,5025 East Washington Street,Suite 202,AZ,85034,center@azdisabilitylaw.org,http://www.azdisabilitylaw.org,602-274-6287,602-274-6287,800-927-2260,800-927-2260,602-274-6779,John Gutierrez,John Gutierrez,602-274-6287
2017,Colorado,Published,Center for Legal Advocacy,455 Sherman Streeet,Suite 130,Denver,80203,maharvey@disabilitylawco.org,http://www.disabilitylawco.org,303-722-0300,303-722-3619,800-288-1376,800-288-1376,303-722-0720,Center for Legal Advocacy,455 Sherman Streeet,Suite 130,CO,80203,maharvey@disabilitylawco.org,http://www.disabilitylawco.org,303-722-0300,303-722-3619,800-288-1376,800-288-1376,303-722-0720,Jennifer Purrington,Jennifer Purrington,303-722-0300
2017,Connecticut,Published,Protection and Advocacy for Persons with Disabilit,60B Weston Street,,Hartford,6120,gretchen.knauff@ct.gov,http://www.ct.gov/opapd,(860) 297-4300,(860) 297-4380,(800) 842-7303,(800) 842-7303,(860) 566-8714,Protection and Advocacy for Persons with Disabilit,60B Weston Street,,CT,6120,gretchen.knauff@ct.gov,http://www.ct.gov/opapd,(860) 297-4300,(860) 297-4380,(800) 842-7303,(800) 842-7303,(860) 566-8714,,,
2017,Delaware,Published,"United Cerebral Palsy of Delaware, Inc.",700A River Road,,Wilmington,19809,medgar.cap@ucpde.org,http://www.ucpde.org,302-764-2400,302-764-2400,1-800-640-9336,1-800-640-9336,302-764-8713,"United Cerebral Palsy of Delaware, Inc.",700A River Road,,DE,19809,medgar.cap@ucpde.org,http://www.ucpde.org,302-764-2400,302-764-2400,1-800-640-9336,1-800-640-9336,302-764-6218,Monica Edgar,Monica Edgar,302-764-6216
2017,Florida,Published,Disability Rights Florida,2473 Care Drive,Suite 200,Tallahassee FL,32308,annr@disabilityrightsflorida.org,http://www.disabilityrightsflorida.org,(850) 488-9071,(800) 346-4127,(800) 342-0823,(800) 346-4127,(850) 488-8640,,,,FL,,,,,,,,,Maryellen McDonald,Ann Robinson,850.488.9071
2017,Georgia,Published,Martin & Jones,123 N. McDonough St.,,Decatur,30030,ssappeals@gmail.com,http://www.georgiacap.com,404-373-2040,404-373-2040,800-822-9727,800-822-9727,404-373-4110,Martin & Jones,123 N. McDonough St.,,GA,30030,ssappeals@gmail.com,http://www.georgiacap.com,404-373-2040,404-373-2040,800-822-9727,800-822-9727,404-373-4110,Charles L. Martin,Charles L. Martin,404-373-3116
2017,Guam,Published,EDMUND CRUZ,PO BOX 23474 GMF,GUAM MAIL FACILITY,BARRIGADA,96929,gcap671@gmail.com,http://www. guamcap.org (Pending),6716464227,6716464227,6716464227,6716464227,(671)649-4211,EDMUND CRUZ,PO BOX 23474 GMF,GUAM MAIL FACILITY,GU,96929,gcap671@gmail.com,http://www. guamcap.org (Pending),6716464227,6716464227,6716464227,6716464227,(671)649-4211,EDMUND CRUZ,EDMUND CRUZ,6716464227
2017,Hawaii,Published,HAWAII DISABILITY RIGHTS CENTER,1132 Bishop Street,Suite 2102,Honolulu,96813,info@hawaiidisabilityrights.org,http://www.hawaiidisabilityrights.org,808-949-2922,808-949-2922,1-800-882-1057,1-800-882-1057,808-949-2928,HAWAII DISABILITY RIGHTS CENTER,1132 Bishop Street,Suite 2102,HI,96813,info@hawaiidisabilityrights.org,http://www.hawaiidisabilityrights.org,808-949-2922,808-949-2922,1-800-882-1057,1-800-882-1057,808-949-2928,Louis Erteschick,Ann E. Collins,808-949-2922
2017,Iowa,Published,Iowa Client Assistance Program,"DHR, Office of Persons with Disabilities",Lucas State Office Bldg.,Des Moines,50319,page.eastin@iowa.gov,http://www.humanrights.iowa.gov/pd/client_assis_program/inde,(800)652-4298,(800)652-4298,(800)652-4298,(800)652-4298,(515)242-6119,Iowa Client Assistance Program,"DHR, Office of Persons with Disabilities",Lucas State Office Bldg.,IA,50319,page.eastin@iowa.gov,http://www.humanrights.iowa.gov/pd/client_assis_program/inde,(800)652-4298,(800)652-4298,(800)652-4298,(800)652-4298,(515)242-6119,Page Eastin,Page Eastin,800-652-4298
2017,Idaho,Published,"DisAbility Rights Idaho, Inc.",4477 Emerald Street,Suite B-100,Boise,83706-2066,dina@disabilityrightsidaho.org,http://disabilityrightsidaho.org,208-336-5353,,866-262-3462,,208-336-5396,"DisAbility Rights Idaho, Inc.",4477 Emerald Street,Suite B-100,ID,83706,dina@disabilityrightsidaho.org,http://disabilityrightsidaho.org,208-336-5353,,866-262-3462,,208-336-5396,Dina M. Flores-Brewer,Dina M. Flores-Brewer,208-336-5353
2017,Illinois,Published,Illinois Department of Human Services,Division of Rehabilitation Services,100 S. Grand Ave. East - P.O. Box 19429,Springfield,62794-9429,,http://www.dhs.state.il.us,217-524-7552,217-524-7552,,888-440-8994,217-558-4270,Illinois Department of Human Services,Division of Rehabilitation Services,100 S. Grand Ave. East - P.O. Box 19429,IL,62794,Kari.Wright@illinois.gov,http://www.dhs.state.il.us,217-557-1344,,800-641-3929,888-460-5111,217-524-1184,Kari Wright,Kari Wright,217-557-1344
2017,Kansas,Published,Disability Rights Center of Kansas,"214 SW 6th Ave, Suite 100",,Topeka,66603,rocky@drckansas.org,http://drckansas.org,785-273-9661,877-335-3725,877-776-1541,877-335-3725,785-273-9414,,,,KS,,,,,,,,,Rocky Nichols,Rocky Nichols,785-273-9661
2017,Kentucky,Published,Kentucky Client Assistance Program,300 Sower Blvd. 4CSW20,4th Floor,Frankfort,40601,cynthia.elliott@ky.gov,http://kycap.ky.gov,502-564-8035,,800-633-6283,,502-564-1566,Kentucky Client Assistance Program,300 Sower Blvd. 4CSW20,4th Floor,KY,40601,cynthia.elliott@ky.gov,http://kycap.ky.gov,502-564-8035,,800-633-6283,,502-564-2316,Cynthia E. Elliott,Cynthia E. Elliott,502-564-8035
2017,Louisiana,Published,Advocacy Center,8325 Oak Street,,New Orleans,70118-2043,advocacycenter@advocacyla.org,http://www.advocacyla.org,504-522-2337,,800-960-7705,,504-522-5507,Advocacy Center,8325 Oak Street,,LA,70118,davidgallegos@advocacyla.org,http://www.advocacyla.org,504-522-2337,,800-960-7705,,504-522-5507,David Gallegos,David Gallegos,504-522-2337 x141
2017,Maryland,Published,Maryland Division of Rehabilitation Services -DORS,2301 Argonne DR,,Baltimore,21218,cap.dors@maryland.gov,http://www.dors.maryland.gov,(410)554-9363,,1-800-638-6243,,410-554-9362,Maryland Division of Rehabilitation Services -DORS,2301 Argonne DR,,MD,21218,cap.dors@maryland.gov,http://www.dors.maryland.gov,(410)554-9363,,1-800-638-6243,,410-554-9362,Thomas Laverty,Thomas Laverty,410-554-9363
2017,Maine,Published,Bureau of Rehabilitation Services,150 State House Station,,Augusta,4333,Brenda.G.Drummond@Maine.gov,http://www.maine.gov,207-624-7954,207-624-5977,1-888-755-0023,1-888-755-0023,207-624-5980,Bureau of Rehabilitation Services,150 State House Station,,ME,4333,Brenda.G.Drummond@Maine.gov,http://www.maine.gov,207-624-7954,207-624-5977,1-888-755-0023,1-888-755-0023,207-624-5980,Kathy Despres,Kathy Despres,207.377.7055
2017,Michigan,Published,Michigan Protection & Advocacy Service Inc.,4095 Legacy Parkway,Suite 500,Lansing,48911,ecerano@mpas.org,http://www.mpas.org,(517) 487-1755,(517) 374-4687,(800) 288-5923,(800) 288-5923,(517) 487-0827,,,,MI,,,,,,,,,Brian Sabourin,Brian Sabourin,517.487.1755
2017,Minnesota,Published,Mid-Minnesota Legal Assistance,430 1st Avenue N.,Suite 300,Minneapolis,55401,mndlc@mylegalaid.org,http://www.mndlc.org,6123321441,6123324668,8002924150,8002924150,6123345755,,,,MN,,,,,,,,,Daniel Stewart,Alex Farrell,612-746-3764
2017,Missouri,Published,Missouri Protection & Advocacy Services,925 S. Country Club Dr.,,Jefferson City,65109,admin@mo-pa.org,http://www.moadvocacy.org,573-893-3333,800-735-2966,800-392-8667,800-735-2966,573-893-4231,Missouri Protection & Advocacy Services,925 S. Country Club Dr.,,MO,65109,admin@mo-pa.org,http://www.moadvocacy.org,573-893-3333,800-735-2966,800-392-8667,800-735-2966,573-893-4231,Daniel Cayou,Shawn de Loyola,573-893-3333
2017,Mississippi,Published,Mississippi Society for Disabilities,P.O. Box 4958,,Jackson,39296,johnmsd@bellsouth.net,http://www.msdisabilities.com,601-362-2585,601-362-2585,800-962-2400,800-962-2400,,Mississippi Society for Disabilities,P.O. Box 4958,,MS,39296,johnmsd@bellsouth.net,http://www.msdisabilities.com,601-362-2585,601-362-2585,800-962-2400,800-962-2400,,Johnny McGinn,Johnny McGinn,1-601-362-2585
2017,Montana,Published,Disability Rights Montana,1022 Chestnut Street,,Helena,59601,bernie@disabiltiyrightsmt.org,https://disabilityrightsmt.org,406-449-2344,406-449-2344,800-245-4743,800-245-4743,406-449-2418,Disability Rights Montana,1022 Chestnut Street,,MT,59601,bernie@disabiltiyrightsmt.org,https://disabilityrightsmt.org,406-449-2344,406-449-2344,800-245-4743,800-245-4743,406-449-2418,Bernadette Franks-Ongoy,Kathy Hampton,406-449-2344
2017,North Carolina,Published,Department of Health and Human Services,2801 Mail Service Center,,Raleigh,27699,,http://nc.dhhs.gov/dvrs/,919-855-3500,919-855-3579,,,919-733-7968,Department of Health and Human Services,2801 Mail Service Center,,NC,27699,,http://nc.dhhs.gov/dvrs/,919-855-3500,919-855-3579,,,919-733-7968,John Marens,John Marens,919-855-3600
2017,North Dakota,Published,Division of Vocational Rehabilitation,1237 West Divide Avenue Ste 1A,,Bismarck,58501,rcusack@nd.gov,http://www.nd.gov/dhs/dvr/,701-328-8950,701-328-6888,1-800-755-2745,1-800-366-6888,701-328-8969,Protection & Advocacy Project,400 E. Broadway,Suite 409,ND,58501,tlarsen@nd.gov,http://www.ndpanda.org,701-328-2950,701-328-6888,1-800-472-2670,1-800-366-6888,701-328-3934,Teresa Larsen,Teresa Larsen,(701) 328-2950
2017,Nebraska,Published,Nebraska VR (Vocational Rehabilitation),301 Centennial Mall South-6th Floor,Box 94987,Lincoln,68509,mark.schultz@nebraska.gov,http://vr.nebraska.gov,402.471.1202,402.471.3644,877.637.3422,877.637.3422,402.471.0788,Nebraska VR (Vocational Rehabilitation),301 Centennial Mall South-6th Floor,Box 94987,NE,68509,mark.schultz@nebraska.gov,http://vr.nebraska.gov,402.471.1202,402.471.3644,877.637.3422,877.637.3422,402.471.0788,Shari Bahensky,Shari Bahensky,402.417.3412
2017,New Hampshire,Published,GOVERNOR`S COMMISSION ON DISABILITY,121 SOUTH FRUIT STREET,SUITE 101,CONCORD,3301,Charles.Saia@nh.gov,http://www.nh.gov/disability/,(603) 271-2773,,(800) 852-3405,,(603) 271-2837,GOVERNOR`S COMMISSION ON DISABILITY,121 SOUTH FRUIT STREET,SUITE 101,NH,3301,Charles.Saia@nh.gov,http://www.nh.gov/disability/,(603) 271-2773,,(800) 852-3405,,(603) 271-2837,Lorrie J. Ripley,Lorrie J. Ripley,603-271-2773
2017,Oregon,Published,Disability Rights Oregon formerly OAC,"610 SW Broadway, Suite 200",,Portland,97205,welcome@droregon.org,http://droregon.org/,503-243-2081,,800-452-1695,,503-243-1738,,,,OR,,,,,,,,,Ted Wenk,Jamie Jones,503-243-2081
2017,Pennsylvania,Published,Center for Disability Law & Policy,1515 Market Street,Suite 1300,Philadelphia,19102,steve@equalemployment.org,http://www.equalemployment.org,215 557 7112,215 557 7112,1-888-745-2357,1-888-745-2357,215 557 7602,,,,PA,,,,,,,,,Stephen S. Pennington,Stephen S. Pennington,215-564-2363
2017,Puerto Rico,Published,EXECUTIVE OFFICE OF THE COMMONWEALTH OF PUERTO RIC,PO BOX 41309,"San Juan, PR",San Juan,940,jcollazo@dpi.pr.gov,http://www.dpi.pr.gov,(787) 725-2333,7877214299,7877214299,7877214299,(787)721-2455,,,,PR,,nrodriguez@dpi.pr.gov,http://www.dpi.pr.gov,7877252333,7877214299,7877214299,7877214299,(787)721-2455,,Carmen Janet Collazo,787-221-4398
2017,South Carolina,Published,Department of Admin. Client Assistance Program,1205 Pendleton Street,,Columbia,29201,brenda.hart@admin.sc.gov,http://www.cap.sc.gov,8037340285,,18008680040,,8037340546,Department of Admin. Client Assistance Program,1205 Pendleton Street,,SC,29201,brenda.hart@admin.sc.gov,http://www.cap.sc.gov,8037340285,,18008680040,,8037340546,Brenda Hart,Brenda Hart,8037340560
2017,South Dakota,Published,Disability Rights South Dakota,221 S Central Ave.,Ste. #38,Pierre,57501,drsd@drsdlaw.org,http://www.drsdlaw.org,605-224-8294,605-224-8294,1-800-658-4782,1-800-658-4782,605-224-5125,,,,SD,,,,,,,,,Cole Uecker,Tim Neyhart,605-224-8294
2017,Tennessee,Published,Disability Rights Tennessee,2 International Plaza,Suite 825,Nashville,37217,gethelp@disabilityrightstn.org,http://www.disabilityrightstn.org,615-298-1080,615-298-1080,1-800-342-1660,1-800-342-1660,615-298-2046,Disability Rights Tennessee,2 International Plaza,Suite 825,TN,37217,gethelp@disabilityrightstn.org,http://www.disabilityrightstn.org,615-298-1080,615-298-1080,1-800-342-1660,1-800-342-1660,615-298-2046,Lisa Primm,Anna Bass,615-298-1080
2017,Texas,Published,Disability Rights Texas,2222 W Braker Ln,,Austin,78758,mfaithfull@drtx.org,http://www.disabilityrightstx.org/,512-454-4816,866-362-2851,800-252-9108,866-362-2851,512-302-0902,,,,TX,,,,,,,,,Karen Stanfill,Karen Stanfill,713-482-6782
2017,Utah,Published,Disability Law Center,205 North 400 West,,Salt Lake City,84103,azahradnikova@disabilitylawcenter.org,http://www.disabilitylawcenter.org,801-363-1347,,800-662-9080,,801-363-1437,Disability Law Center,205 North 400 West,,UT,84103,azahradnikova@disabilitylawcenter.org,http://www.disabilitylawcenter.org,801-363-1347,,800-662-9080,,801-363-1437,Lindsay Boerens,Lindsay Boerens,8013631347
2017,Virgin Islands,Published,Disability Rights Center of the Virgin Islands,63 Cane Carlton,63 Cane Carlton,Frederiksted,840,info@drcvi.org,http://drcvi.org,340-772-1200,999-999-9999,999-999-9999,999-999-9999,340-772-0609,Disability Rights Center of the Virgin Islands,63 Cane Carlton,63 Cane Carlton,VI,840,info@drcvi.org,http://drcvi.org,340-772-1200,999-999-9999,999-999-9999,999-999-9999,340-772-0609,Amelia Headley LaMont,Amelia Headley LaMont,3407721200
2017,Vermont,Published,Vermont Client Assistance Program,57 North Main Street,Suite 2,Rutland,5738,nbreiden@vtlegalaid.org,http://vtlegalaid.org,802-775-0021,802-775-0021,800-769-7459,800-769-7459,802-775-0022,Vermont Client Assistance Program,57 North Main Street,Suite 2,VT,5738,nbreiden@vtlegalaid.org,http://vtlegalaid.org,802-775-0021,802-775-0021,800-769-7459,800-769-7459,802-775-0022,Nancy Breiden,Nancy Breiden,802-775-0022
2017,Washington,Published,Client Assistance Program,2531 Rainier Avenue South,,Seattle,98144,jcap@qwestoffice.net,http://washingtoncap.org,(206) 721-5999,(206) 721-6072,(800) 544-2121,(888) 721-6072,(206) 721-5980,Client Assistance Program,2531 Rainier Avenue South,,WA,98144,jcap@qwestoffice.net,http://washingtoncap.org,(206) 721-5999,(206) 721-6072,(800) 544-2121,(888) 721-6072,(206) 721-5980,Jerry Johnsen,Jerry Johnsen,206-721-5996
2017,Wisconsin,Published,Wisconsin Client Assistance Program,2811 Agriculture Drive,PO Box 8911,Madison,53708,deb.hendersonguenther@wisconsin.gov,,608-224-5071,,800-362-1290,,608-224-5069,Wisconsin Client Assistance Program,2811 Agriculture Drive,PO Box 8911,WI,53708,deb.hendersonguenther@wisconsin.gov,,608-224-5071,,800-362-1290,,608-224-5069,Deb Henderson-Guenther,Deb Henderson-Guenther,608-224-5071
2017,West Virginia,Published,Disability Rights of West Virginia,"1207 Quarrier St, Ste 400",,Charleston,25301,contact@drofwv.org,https://www.drofwv.org/,304-346-0847,304-346-0847,1-800-950-5250,1-800-950-5250,304-346-0867,Disability Rights of West Virginia,"1207 Quarrier St, Ste 400",,WV,25301,contact@drofwv.org,https://www.drofwv.org/,304-346-0847,304-346-0847,1-800-950-5250,1-800-950-5250,304-346-0867,Stephanie Thorn,Jodi Calissie,304-346-0847
2017,Wyoming,Published,"Protection & Advocacy System, Inc.",7344 Stockman Street,,Cheyenne,82009,wypanda@wypanda.com,http://www.wypanda.com,(307) 638-7668,(307) 638-7668,1-800-821-3091,1-800-821-3091,(307) 638-0815,"Protection & Advocacy System, Inc.",7344 Stockman Street,,WY,82009,wypanda@wypanda.com,http://www.wypanda.com,(307) 638-7668,(307) 638-7668,1-800-821-3091,1-800-821-3091,(307) 638-0815,Lee Beidleman,Lee Beidleman,(307) 638-7668
2017,Alaska,Published,Karen Tessandore,3330 Arctic Blvd. #103,,Anchorage,99503,ktessandore@dlcak.org,,9075651002,9075651002,9075651002,9075651002,907-465-3452,Disability Law Center of Alaska,3330 Arctic Blvd. #103,,AK,99503,akpa@dlcak.org,http://www.dlcak.org,907-565-1002,,,,907-565-1000,David Fleurant,Karen Tessandore,907-565-1002
2017,California,Published,Disability Rights California,1831 K Street,,Sacramento,95811,joann.parayno@disabilityrightsca.org,http://www.disabilityrightsca.org,916-504-5800,800-719-5798,800-776-5746,800-719-5798,916-504-5802,Disability Rights California,1831 K Street,,CA,95811,joann.parayno@disabilityrightsca.org,http://www.disabilityrightsca.org,916-504-5800,800-719-5798,800-776-5746,800-719-5798,916-504-5802,Connie Chu,JoAnn Parayno,9165045919
2017,Indiana,Published,Indiana Protection and Advocacy Services,4701 N. Keystone Ave.,Suite 222,Indianapolis,46205,ExecutiveDirector@indianadisabilityrights.org,http://www.in.gov/idr,317-722-5555,317-722-5563,1-800-622-4845,1-800-838-1131,317-722-5564,Indiana Protection and Advocacy Services,4701 N. Keystone Ave.,Suite 222,IN,46205,ExecutiveDirector@indianadisabilityrights.org,http://www.in.gov/idr,317-722-5555,800-838-1131,800-622-4845,800-838-1131,317-722-5564,Dawn Adams,Dawn Adams,317-722-3455
2017,New Jersey,Published,Disability Rights New Jersey,210 S Broad Street,FL 3,Trenton,8608,advocate@drnj.org,http://www.drnj.org,609-292-9742,609-633-7106,800-922-7233,,609-777-0187,Disability Rights New Jersey,210 S Broad Street,FL 3,NJ,8608,advocate@drnj.org,http://www.drnj.org,609-292-9742,609-633-7106,800-922-7233,,609-777-0187,Lillie Lowe-Reid,Lillie Lowe-Reid,609-292-9742
2017,New Mexico,Published,Disability Rights New Mexico,3916 Juan Tabo NE,,Albuquerque,87111,info@drnm.org,http://www.drnm.org,505-256-3100,505-256-3100,800-432-4682,800-432-4682,505-256-3184,Disability Rights New Mexico,3916 Juan Tabo NE,,NM,87111,info@drnm.org,http://www.drnm.org,505-256-3100,505-256-3100,800-432-4682,800-432-4682,505-256-3184,Bernadine Chavez,Bernadine Chavez,505-256-3100
2017,Nevada,Published,Nevada Disability Advocacy & Law Center,2820 W. Charleston Blvd. Suite B-11,,Las Vegas,89102,jack@ndalc.org,http://www.ndalc.org,775-333-7878,,888-349-3843,,702-257-8170,,,,NV,,,,,,,,,William Heaivilin,Celeste Graham,702-257-8150 x7123
2017,Rhode Island,Published,RHODE ISLAND DISABILITY LAW CENTER INC.,275 WESTMINSTER STREET,SUITE 401,PROVIDENCE,2903,rbandusky@ridlc.org,http://www.ridlc.org,401-831-3150,401-831-5335,800-733-5332,,401-274-5568,,,,RI,,,,,,,,,Catherine Sansonetti,Catherine Sansonetti,401-831-3150
2017,District of Columbia,Published,"University Legal Services, Inc.","220 I Street, N.E., Suite 130",N/A,Washington,20002,sbernstein@uls-dc.org,http://www.uls.dc.org,202 547-0198,202-547-2657,877-221-4638,,202-547-2662,"University Legal Services, Inc.","220 I Street, N.E., Suite 130",N/A,DC,20002,sbernstein@uls-dc.org,http://www.uls.dc.org,202 547-0198,202-547-2657,877-221-4638,,202-547-2662,Sandy Bernstein,Sandy Bernstein,(202) 547-0198
2017,Ohio,Published,Disability Rights Ohio,"200 Civic Center Drive, Suite 300",,Columbus,43215,,http://www.disabilityrightsohio.org,614-466-7264,614-728-2553,800-282-9181,800-858-3542,,Disability Rights Ohio,"200 Civic Center Drive, Suite 300",,OH,43215,,http://www.disabilityrightsohio.org,614-466-7264,614-728-2553,800-282-9181,800-858-3542,,Barbara Corner,Michael Kirkman,614-466-7264
2017,Virginia,Published,disAbility Law Center of Virginia,1512 Willow Lawn Drive,Suite 100,Richmond,23230,info@dlcv.org,http://www.dlcv.org,804-225-2042,,800-552-3962,,804-662-7431,disAbility Law Center of Virginia,1512 Willow Lawn Drive,Suite 100,VA,23230,info@dlcv.org,http://www.dlcv.org,804-225-2042,,800-552-3962,,804-662-7431,Colleen Miller,Robert Gray,804-225-2042
2017,Oklahoma,Published,Oklahoma Office of Disability Concerns,"1111 N. Lee, suite 500",,Oklahoma City,73103,William.Ginn@odc.ok.gov,http://www.ok.gov/odc,405-522-6702,,800-522-8224,,405.522.6695,Oklahoma Office of Disability Concerns,"1111 N. Lee, suite 500",,OK,73103,William.Ginn@odc.ok.gov,http://www.ok.gov/odc,405-522-6702,,800-522-8224,,405-522-6695,William Ginn,William Ginn,405-522-6702
2017,New York,Published,Disability Rights New York (DRNY),725 Broadway,Suite 450,Albany,12207,mail@drny.org,http://www.drny.org,518-432-7861,518-512-3448,800-993-8982,800-993-8982,518-427-6561,Disability Rights New York (DRNY),725 Broadway,Suite 450,NY,12207,mail@drny.org,http://www.drny.org,518-432-7861,518-512-3448,800-993-8982,800-993-8982,518-427-6561,"Erica M. Molina, Esq.","Erica M. Molina, Esq.",518-432-7861
2017,New Mexico,Published,Native American Disability Law Center,3535 E. 30th Street,Suite 201,Farmington,87402,tyanan@nativedisabilitylaw.org,http://www.nativedisabilitylaw.org,505-566-5880,,800-862-7271,,505-566-5889,Native American Disability Law Center,3535 E. 30th Street,Suite 201,NM,87402,tyanan@nativedisabilitylaw.org,http://www.nativedisabilitylaw.org,505-566-5880,,800-862-7271,,505-566-5889,Therese E. Yanan,Therese E. Yanan,505-566-5880
2017,Connecticut,Published,Disability Rights Connecticut,846 Wethersfield Ave.,,Hartford,6114,gretchen.knauff@disrightsct.org,http://disrightsct.org,(860) 297-4300,,(800) 842-7303,(800) 842-7303,,Gretchen Knauff,846 Wethersfield Ave,,CT,6114,gretchen.knauff@disrightsct.org,http://www.disrightsct.org,(860) 297-4300,,(800) 842-7303,(800) 842-7303,,Nancy Alisberg,Gretchen Knauff,860.297.4300
2018,Northern Marianas,Published,NMPASI,P.O. Box 503529,,Saipan,96950,jrayphand@nmpasi.org,http://www.nmpasi.org,(670) 235-7273,(670) 235-7278,,,(670) 235-7275,NMPASI,P.O. Box 503529,,MP,96950,jrayphand@nmpasi.org,http://www.nmpasi.org,(670) 235-7273,(670) 235-7278,,,(670) 235-7275,James Rayphand / Jimmy Sablan,Elsie Tilipao,670-235-7273
2018,New Mexico,Published,Native American Disability Law Center,405 W. Apache Avenue,,Farmington,87401,tyanan@nativedisabilitylaw.org,http://www.nativedisabilitylaw.org,505-566-5880,,800-862-7271,,505-566-5889,,,,NM,,,,,,,,,Therese E. Yanan,Therese E. Yanan,505-566-5880
2018,Massachusetts,Published,Massachusetts Office on Disability,One Ashburton Place #1305,,Boston,2108,naomi.goldberg@state.ma.us,http://www.mass.gov/mod,617-727-7440,617-727-7440,800-322-2020,800-322-2020,617-727-0965,Massachusetts Office on Disability,One Ashburton Place #1305,,MA,2108,naomi.goldberg@state.ma.us,http://www.mass.gov/mod,617-727-7440,617-727-7440,800-322-2020,800-322-2020,617-727-0965,Naomi Goldberg,Naomi Goldberg,617-979-7327
2018,Alabama,Published,Alabama Department of Rehabilitation Services,602 S. Lawrence Street,,Montgomery AL,36104,JE.Burdeshaw@rehab.alabama.gov,http://www.rehab.state.al.us,334-293-7032,334-293-7500,1-800-441-7607,1-800-441-7607,334-293-7383,Alabama Department of Rehabilitation Services,602 S. Lawrence Street,,AL,36104,JE.Burdeshaw@rehab.alabama.gov,http://www.rehab.state.al.us,334-293-7032,334-293-7500,1-800-441-7607,1-800-441-7607,334-293-7383,Rachel L. Hughes,Rachel L. Hughes,(334) 263-2749
2018,Arkansas,Published,"Disability Rights Arkansas, Inc.",400 West Capitol Avenue,Suite 1200,Little Rock,72201,spierce@disabilityrightsAR.org,http://www.disabilityrightsar.org,501 296-1775,501-296-1775,800-482-1774,800-482-1174,501 296-1779,"Disability Rights Arkansas, Inc.",400 West Capitol Avenue,Suite 1200,AR,72201,spierce@disabilityrightsAR.org,http://www.disabilityrightsar.org,501 296-1775,501-296-1775,800-482-1774,800-482-1174,501 296-1779,Thomas Nichols,Susan Pierce,501-296-1775
2018,American Samoa,Published,Office of Protection and Advocacy for the Disabled,P.O. Box 3937,,Pago Pago,96799,fsavali94@yahoo.com,,(684) 699-2442,,,,(684) 699-7286,Office of Protection and Advocacy for the Disabled,P.O. Box 3937,,AS,96799,fsavali94@yahoo.com,,(684) 699-2442,,,,(684) 699-7286,Fiaava'e Savali,Fiaava'e Savali,684-699-2441
